Segment;RFM_score
Champion;555
Champion;554
Champion;545
Champion;544
Champion;455
Champion;454
Champion;445
Loyal customer;543
Loyal customer;444
Loyal customer;435
Loyal customer;355
Loyal customer;354
Loyal customer;345
Loyal customer;344
Loyal customer;335
Potential loyalist;553
Potential loyalist;552
Potential loyalist;551
Potential loyalist;542
Potential loyalist;541
Potential loyalist;533
Potential loyalist;532
Potential loyalist;531
Potential loyalist;453
Potential loyalist;452
Potential loyalist;451
Potential loyalist;442
Potential loyalist;441
Potential loyalist;433
Potential loyalist;432
Potential loyalist;431
Potential loyalist;353
Potential loyalist;352
Potential loyalist;351
Potential loyalist;342
Potential loyalist;341
Potential loyalist;333
Potential loyalist;423
Potential loyalist;323
New customer;512
New customer;511
New customer;422
New customer;421
New customer;412
New customer;411
New customer;311
Promising;515
Promising;514
Promising;513
Promising;425
Promising;424
Promising;415
Promising;414
Promising;413
Promising;525
Promising;524
Promising;523
Promising;522
Promising;521
Promising;315
Promising;314
Promising;313
Need attention;535
Need attention;534
Need attention;443
Need attention;434
Need attention;343
Need attention;334
Need attention;325
Need attention;324
Cannot lose him;155
Cannot lose him;154
Cannot lose him;144
Cannot lose him;215
Cannot lose him;214
Cannot lose him;115
Cannot lose him;114
Cannot lose him;113
About to sleep;331
About to sleep;321
About to sleep;312
About to sleep;213
About to sleep;221
At risk;255
At risk;254
At risk;245
At risk;244
At risk;145
At risk;253
At risk;252
At risk;243
At risk;242
At risk;235
At risk;234
At risk;225
At risk;224
At risk;153
At risk;152
At risk;143
At risk;142
At risk;135
At risk;134
At risk;133
At risk;125
At risk;124
Hibernating;332
Hibernating;322
Hibernating;251
Hibernating;241
Hibernating;233
Hibernating;232
Hibernating;231
Hibernating;223
Hibernating;132
Hibernating;222
Hibernating;212
Hibernating;211
Hibernating;122
Hibernating;123
Lost;151
Lost;141
Lost;131
Lost;121
Lost;112
Lost;111
